Wed Sep 9 14:28:01 PDT 2015, as-735_G_432, 7716, 7716, 17915, 1915.15, 1611.01, -0.096066, 2.32180, 16.91812, 7.28664, 42.87111, MKL SpMV, 0.00839, 4.269644, 53.730, CPU CSR I/O Proxy, 0.00503, 7.125472, 89.668, Merge SpMV, 0.00646, 5.550566, 69.849, Merge SpMV NUMA, Numa setup ms, 1.57404, 0.00628, 5.705451, 71.799, POSKI Tuned SpMV, poski tune ms, 49.91412, 0.09157, 0.391300, 4.924,
Wed Sep 9 14:28:08 PDT 2015, as-735_G_433, 7716, 7716, 17947, 1911.69, 1610.49, -0.092995, 2.32595, 16.92297, 7.27574, 42.92351, MKL SpMV, 0.00856, 4.193636, 52.754, CPU CSR I/O Proxy, 0.00525, 6.836560, 86.001, Merge SpMV, 0.00669, 5.362358, 67.456, Merge SpMV NUMA, Numa setup ms, 1.60789, 0.00647, 5.544830, 69.752, POSKI Tuned SpMV, poski tune ms, 113.45005, 0.10975, 0.327060, 4.114,
Wed Sep 9 14:28:16 PDT 2015, as-735_G_434, 7716, 7716, 17973, 1917.51, 1615.51, -0.096048, 2.32932, 16.98823, 7.29323, 42.99787, MKL SpMV, 0.00879, 4.090853, 51.446, CPU CSR I/O Proxy, 0.00503, 7.146942, 89.879, Merge SpMV, 0.00674, 5.337129, 67.119, Merge SpMV NUMA, Numa setup ms, 2.18606, 0.00642, 5.598802, 70.410, POSKI Tuned SpMV, poski tune ms, 107.36800, 0.09723, 0.369713, 4.649,
Wed Sep 9 14:28:24 PDT 2015, as-735_G_435, 7716, 7716, 17981, 1919.10, 1613.02, -0.095333, 2.33035, 16.97164, 7.28287, 42.91439, MKL SpMV, 0.00849, 4.235329, 53.258, CPU CSR I/O Proxy, 0.00501, 7.183180, 90.326, Merge SpMV, 0.00675, 5.324295, 66.952, Merge SpMV NUMA, Numa setup ms, 1.66798, 0.00648, 5.548477, 69.771, POSKI Tuned SpMV, poski tune ms, 53.50208, 0.09284, 0.387334, 4.871,
Wed Sep 9 14:28:31 PDT 2015, as-735_G_436, 7716, 7716, 17972, 1916.99, 1612.68, -0.094645, 2.32919, 16.97121, 7.28633, 42.94764, MKL SpMV, 0.00844, 4.258213, 53.551, CPU CSR I/O Proxy, 0.00506, 7.109345, 89.407, Merge SpMV, 0.00683, 5.265855, 66.223, Merge SpMV NUMA, Numa setup ms, 1.54781, 0.00647, 5.559783, 69.920, POSKI Tuned SpMV, poski tune ms, 46.06986, 0.09587, 0.374924, 4.715,
Wed Sep 9 14:28:38 PDT 2015, as-735_G_437, 7716, 7716, 17984, 1916.41, 1613.84, -0.094486, 2.33074, 16.97958, 7.28506, 42.90806, MKL SpMV, 0.00850, 4.229688, 53.185, CPU CSR I/O Proxy, 0.00520, 6.920890, 87.025, Merge SpMV, 0.00690, 5.215431, 65.580, Merge SpMV NUMA, Numa setup ms, 1.41597, 0.00660, 5.447714, 68.501, POSKI Tuned SpMV, poski tune ms, 106.04620, 0.09922, 0.362526, 4.559,
Wed Sep 9 14:28:45 PDT 2015, as-735_G_438, 7716, 7716, 17985, 1919.93, 1615.48, -0.094955, 2.33087, 16.95447, 7.27388, 42.89802, MKL SpMV, 0.00833, 4.320181, 54.323, CPU CSR I/O Proxy, 0.00516, 6.966774, 87.601, Merge SpMV, 0.00654, 5.497933, 69.132, Merge SpMV NUMA, Numa setup ms, 1.87087, 0.00658, 5.466649, 68.738, POSKI Tuned SpMV, poski tune ms, 52.68979, 0.09182, 0.391727, 4.926,
Wed Sep 9 14:28:52 PDT 2015, as-735_G_439, 7716, 7716, 17978, 1925.70, 1616.80, -0.097657, 2.32996, 16.98024, 7.28777, 42.96575, MKL SpMV, 0.00898, 4.002539, 50.333, CPU CSR I/O Proxy, 0.00506, 7.112282, 89.438, Merge SpMV, 0.00671, 5.356365, 67.357, Merge SpMV NUMA, Numa setup ms, 1.57905, 0.00664, 5.414166, 68.084, POSKI Tuned SpMV, poski tune ms, 47.25599, 0.09037, 0.397866, 5.003,
Wed Sep 9 14:28:59 PDT 2015, as-735_G_440, 7716, 7716, 17942, 1928.59, 1618.77, -0.098257, 2.32530, 16.95378, 7.29101, 43.06391, MKL SpMV, 0.00853, 4.209069, 52.951, CPU CSR I/O Proxy, 0.00531, 6.754787, 84.977, Merge SpMV, 0.00643, 5.581447, 70.216, Merge SpMV NUMA, Numa setup ms, 1.40095, 0.00641, 5.596943, 70.411, POSKI Tuned SpMV, poski tune ms, 44.14105, 0.09306, 0.385581, 4.851,
Wed Sep 9 14:29:07 PDT 2015, as-735_G_441, 7716, 7716, 18091, 1927.65, 1616.18, -0.096420, 2.34461, 17.01779, 7.25827, 43.01525, MKL SpMV, 0.00835, 4.331721, 54.402, CPU CSR I/O Proxy, 0.00502, 7.211243, 90.566, Merge SpMV, 0.00665, 5.439924, 68.320, Merge SpMV NUMA, Numa setup ms, 1.58405, 0.00650, 5.569566, 69.949, POSKI Tuned SpMV, poski tune ms, 58.99310, 0.09512, 0.380381, 4.777,
Wed Sep 9 14:29:14 PDT 2015, as-735_G_442, 7716, 7716, 18181, 1933.10, 1616.93, -0.098358, 2.35627, 17.07383, 7.24612, 43.00456, MKL SpMV, 0.00855, 4.254019, 53.373, CPU CSR I/O Proxy, 0.00506, 7.189662, 90.204, Merge SpMV, 0.00674, 5.398880, 67.736, Merge SpMV NUMA, Numa setup ms, 1.56784, 0.00654, 5.559904, 69.757, POSKI Tuned SpMV, poski tune ms, 63.37500, 0.09787, 0.371552, 4.662,
Wed Sep 9 14:29:21 PDT 2015, as-735_G_443, 7716, 7716, 18176, 1932.51, 1619.00, -0.099537, 2.35562, 17.07412, 7.24823, 43.08727, MKL SpMV, 0.00849, 4.283601, 53.747, CPU CSR I/O Proxy, 0.00535, 6.794466, 85.251, Merge SpMV, 0.00665, 5.466467, 68.588, Merge SpMV NUMA, Numa setup ms, 1.43409, 0.00641, 5.669053, 71.130, POSKI Tuned SpMV, poski tune ms, 73.43602, 0.10357, 0.350982, 4.404,
Wed Sep 9 14:29:29 PDT 2015, as-735_G_444, 7716, 7716, 18196, 1932.33, 1619.21, -0.097694, 2.35822, 17.08990, 7.24696, 43.09972, MKL SpMV, 0.00871, 4.178944, 52.422, CPU CSR I/O Proxy, 0.00533, 6.832841, 85.713, Merge SpMV, 0.00645, 5.640715, 70.759, Merge SpMV NUMA, Numa setup ms, 1.76001, 0.00642, 5.672954, 71.163, POSKI Tuned SpMV, poski tune ms, 46.20910, 0.10094, 0.360548, 4.523,
Wed Sep 9 14:29:36 PDT 2015, as-735_G_445, 7716, 7716, 18238, 1932.59, 1618.35, -0.098356, 2.36366, 17.09644, 7.23304, 42.95383, MKL SpMV, 0.00845, 4.316083, 54.117, CPU CSR I/O Proxy, 0.00524, 6.961947, 87.292, Merge SpMV, 0.00652, 5.598016, 70.190, Merge SpMV NUMA, Numa setup ms, 1.66988, 0.00635, 5.741865, 71.994, POSKI Tuned SpMV, poski tune ms, 48.61713, 0.09557, 0.381657, 4.785,
Wed Sep 9 14:29:44 PDT 2015, as-735_G_446, 7716, 7716, 18205, 1937.73, 1621.87, -0.101724, 2.35938, 17.11356, 7.25340, 43.08276, MKL SpMV, 0.00887, 4.105430, 51.495, CPU CSR I/O Proxy, 0.00497, 7.324336, 91.869, Merge SpMV, 0.00680, 5.352461, 67.136, Merge SpMV NUMA, Numa setup ms, 1.73616, 0.00684, 5.320329, 66.733, POSKI Tuned SpMV, poski tune ms, 45.60184, 0.09027, 0.403340, 5.059,
Wed Sep 9 14:29:51 PDT 2015, as-735_G_447, 7716, 7716, 18288, 1939.30, 1623.34, -0.102238, 2.37014, 17.14397, 7.23332, 42.90721, MKL SpMV, 0.00848, 4.312119, 54.037, CPU CSR I/O Proxy, 0.00526, 6.952395, 87.124, Merge SpMV, 0.00658, 5.557986, 69.650, Merge SpMV NUMA, Numa setup ms, 1.45888, 0.00639, 5.724572, 71.737, POSKI Tuned SpMV, poski tune ms, 47.38593, 0.09731, 0.375883, 4.710,
Wed Sep 9 14:29:58 PDT 2015, as-735_G_448, 7716, 7716, 18251, 1940.90, 1626.89, -0.102577, 2.36534, 17.17398, 7.26067, 43.15828, MKL SpMV, 0.00855, 4.268580, 53.514, CPU CSR I/O Proxy, 0.00522, 6.995509, 87.700, Merge SpMV, 0.00673, 5.422565, 67.981, Merge SpMV NUMA, Numa setup ms, 1.43003, 0.00655, 5.571208, 69.844, POSKI Tuned SpMV, poski tune ms, 54.11291, 0.09816, 0.371862, 4.662,
Wed Sep 9 14:30:05 PDT 2015, as-735_G_449, 7716, 7716, 18313, 1944.52, 1630.71, -0.102780, 2.37338, 17.18792, 7.24196, 42.99745, MKL SpMV, 0.00857, 4.272210, 53.522, CPU CSR I/O Proxy, 0.00520, 7.040699, 88.206, Merge SpMV, 0.00652, 5.620778, 70.417, Merge SpMV NUMA, Numa setup ms, 1.64795, 0.00642, 5.701358, 71.427, POSKI Tuned SpMV, poski tune ms, 108.37698, 0.09828, 0.372662, 4.669,
Wed Sep 9 14:30:13 PDT 2015, as-735_G_450, 7716, 7716, 18303, 1945.55, 1631.68, -0.105885, 2.37208, 17.19623, 7.24942, 43.02558, MKL SpMV, 0.00901, 4.063623, 50.915, CPU CSR I/O Proxy, 0.00507, 7.223679, 90.509, Merge SpMV, 0.00683, 5.356549, 67.114, Merge SpMV NUMA, Numa setup ms, 1.47510, 0.00696, 5.260433, 65.910, POSKI Tuned SpMV, poski tune ms, 47.31679, 0.09067, 0.403732, 5.059,
Wed Sep 9 14:30:20 PDT 2015, as-735_G_451, 7716, 7716, 18490, 1938.48, 1627.83, -0.098681, 2.39632, 17.23835, 7.19368, 42.95190, MKL SpMV, 0.00879, 4.208365, 52.621, CPU CSR I/O Proxy, 0.00507, 7.290033, 91.153, Merge SpMV, 0.00662, 5.582458, 69.802, Merge SpMV NUMA, Numa setup ms, 1.55401, 0.00645, 5.737423, 71.740, POSKI Tuned SpMV, poski tune ms, 69.94605, 0.09805, 0.377138, 4.716,
Wed Sep 9 14:30:27 PDT 2015, as-735_G_452, 7716, 7716, 18385, 1946.32, 1630.79, -0.100891, 2.38271, 17.19404, 7.21616, 42.87574, MKL SpMV, 0.00849, 4.331547, 54.223, CPU CSR I/O Proxy, 0.00521, 7.057473, 88.346, Merge SpMV, 0.00655, 5.611565, 70.246, Merge SpMV NUMA, Numa setup ms, 1.40905, 0.00636, 5.782520, 72.386, POSKI Tuned SpMV, poski tune ms, 111.12404, 0.09825, 0.374263, 4.685,
Wed Sep 9 14:30:35 PDT 2015, as-735_G_453, 7716, 7716, 18315, 1949.93, 1632.44, -0.105178, 2.37364, 17.19225, 7.24299, 43.12851, MKL SpMV, 0.00854, 4.290192, 53.747, CPU CSR I/O Proxy, 0.00505, 7.249240, 90.817, Merge SpMV, 0.00649, 5.640453, 70.662, Merge SpMV NUMA, Numa setup ms, 1.46079, 0.00642, 5.701879, 71.432, POSKI Tuned SpMV, poski tune ms, 108.18195, 0.10015, 0.365763, 4.582,
Wed Sep 9 14:30:42 PDT 2015, as-735_G_454, 7716, 7716, 18379, 1948.95, 1632.43, -0.102318, 2.38193, 17.20248, 7.22206, 42.99909, MKL SpMV, 0.00860, 4.272387, 53.486, CPU CSR I/O Proxy, 0.00514, 7.150082, 89.512, Merge SpMV, 0.00670, 5.485483, 68.673, Merge SpMV NUMA, Numa setup ms, 1.40309, 0.00637, 5.774294, 72.288, POSKI Tuned SpMV, poski tune ms, 56.76699, 0.09813, 0.374597, 4.690,
Wed Sep 9 14:30:49 PDT 2015, as-735_G_455, 7716, 7716, 18406, 1952.82, 1637.61, -0.101490, 2.38543, 17.27649, 7.24250, 43.14713, MKL SpMV, 0.00856, 4.302167, 53.843, CPU CSR I/O Proxy, 0.00524, 7.020155, 87.859, Merge SpMV, 0.00650, 5.663924, 70.886, Merge SpMV NUMA, Numa setup ms, 1.64795, 0.00638, 5.768263, 72.191, POSKI Tuned SpMV, poski tune ms, 93.14203, 0.10117, 0.363852, 4.554,
Wed Sep 9 14:30:57 PDT 2015, as-735_G_456, 7716, 7716, 18433, 1959.95, 1642.37, -0.104267, 2.38893, 17.28223, 7.23429, 43.20028, MKL SpMV, 0.00847, 4.354636, 54.483, CPU CSR I/O Proxy, 0.00498, 7.397341, 92.552, Merge SpMV, 0.00657, 5.612187, 70.217, Merge SpMV NUMA, Numa setup ms, 1.54996, 0.00668, 5.519558, 69.058, POSKI Tuned SpMV, poski tune ms, 46.22578, 0.09384, 0.392872, 4.915,
Wed Sep 9 14:31:04 PDT 2015, as-735_G_457, 7716, 7716, 18193, 1965.19, 1645.13, -0.105910, 2.35783, 17.24683, 7.31471, 43.48733, MKL SpMV, 0.00849, 4.286475, 53.773, CPU CSR I/O Proxy, 0.00509, 7.142126, 89.596, Merge SpMV, 0.00677, 5.375850, 67.439, Merge SpMV NUMA, Numa setup ms, 2.52795, 0.00655, 5.550995, 69.636, POSKI Tuned SpMV, poski tune ms, 111.30619, 0.10999, 0.330801, 4.150,
Wed Sep 9 14:31:12 PDT 2015, as-735_G_458, 7716, 7716, 18418, 1958.32, 1642.57, -0.102524, 2.38699, 17.31057, 7.25206, 43.35793, MKL SpMV, 0.00856, 4.304427, 53.864, CPU CSR I/O Proxy, 0.00519, 7.094600, 88.779, Merge SpMV, 0.00649, 5.679626, 71.073, Merge SpMV NUMA, Numa setup ms, 1.59097, 0.00640, 5.754276, 72.007, POSKI Tuned SpMV, poski tune ms, 75.72508, 0.09088, 0.405337, 5.072,
Wed Sep 9 14:31:19 PDT 2015, as-735_G_459, 7716, 7716, 18483, 1959.91, 1643.86, -0.103662, 2.39541, 17.32243, 7.23150, 43.26068, MKL SpMV, 0.00847, 4.364737, 54.580, CPU CSR I/O Proxy, 0.00515, 7.174465, 89.715, Merge SpMV, 0.00664, 5.565877, 69.600, Merge SpMV NUMA, Numa setup ms, 1.75500, 0.00645, 5.732053, 71.678, POSKI Tuned SpMV, poski tune ms, 108.30116, 0.10616, 0.348196, 4.354,
Wed Sep 9 14:31:27 PDT 2015, as-735_G_460, 7716, 7716, 18552, 1960.50, 1644.27, -0.102995, 2.40435, 17.32468, 7.20554, 43.08205, MKL SpMV, 0.00852, 4.357150, 54.445, CPU CSR I/O Proxy, 0.00503, 7.381358, 92.234, Merge SpMV, 0.00682, 5.442241, 68.003, Merge SpMV NUMA, Numa setup ms, 1.63388, 0.00658, 5.639196, 70.464, POSKI Tuned SpMV, poski tune ms, 46.58008, 0.09124, 0.406682, 5.082,
Wed Sep 9 14:31:34 PDT 2015, as-735_G_461, 7716, 7716, 18577, 1963.17, 1644.44, -0.103086, 2.40759, 17.36421, 7.21226, 43.10012, MKL SpMV, 0.00856, 4.341415, 54.233, CPU CSR I/O Proxy, 0.00516, 7.207010, 90.031, Merge SpMV, 0.00655, 5.674240, 70.883, Merge SpMV NUMA, Numa setup ms, 1.60098, 0.00630, 5.894524, 73.635, POSKI Tuned SpMV, poski tune ms, 45.02010, 0.10519, 0.353209, 4.412,
Wed Sep 9 14:31:42 PDT 2015, as-735_G_462, 7716, 7716, 18625, 1967.01, 1647.79, -0.102477, 2.41382, 17.36530, 7.19413, 43.04434, MKL SpMV, 0.00875, 4.257542, 53.158, CPU CSR I/O Proxy, 0.00512, 7.279003, 90.883, Merge SpMV, 0.00660, 5.641153, 70.434, Merge SpMV NUMA, Numa setup ms, 1.79696, 0.00658, 5.659270, 70.660, POSKI Tuned SpMV, poski tune ms, 42.17601, 0.09852, 0.378108, 4.721,
Wed Sep 9 14:31:49 PDT 2015, as-735_G_463, 7716, 7716, 18692, 1965.45, 1646.93, -0.099306, 2.42250, 17.38033, 7.17455, 43.04767, MKL SpMV, 0.00872, 4.289076, 53.514, CPU CSR I/O Proxy, 0.00505, 7.409606, 92.448, Merge SpMV, 0.00682, 5.485482, 68.441, Merge SpMV NUMA, Numa setup ms, 1.68300, 0.00652, 5.737964, 71.591, POSKI Tuned SpMV, poski tune ms, 46.40698, 0.09785, 0.382036, 4.767,
Wed Sep 9 14:31:57 PDT 2015, as-735_G_464, 7716, 7716, 18688, 1964.60, 1646.92, -0.098261, 2.42198, 17.39277, 7.18122, 43.07421, MKL SpMV, 0.00863, 4.330989, 54.039, CPU CSR I/O Proxy, 0.00501, 7.452960, 92.993, Merge SpMV, 0.00653, 5.722772, 71.405, Merge SpMV NUMA, Numa setup ms, 1.71709, 0.00647, 5.774353, 72.048, POSKI Tuned SpMV, poski tune ms, 107.43094, 0.09908, 0.377220, 4.707,
Wed Sep 9 14:32:04 PDT 2015, as-735_G_465, 7716, 7716, 18701, 1962.67, 1646.55, -0.096506, 2.42367, 17.37613, 7.16936, 43.06836, MKL SpMV, 0.00849, 4.402909, 54.929, CPU CSR I/O Proxy, 0.00511, 7.324908, 91.383, Merge SpMV, 0.00665, 5.625935, 70.187, Merge SpMV NUMA, Numa setup ms, 1.42813, 0.00637, 5.872086, 73.258, POSKI Tuned SpMV, poski tune ms, 68.36891, 0.09612, 0.389127, 4.855,
Wed Sep 9 14:32:11 PDT 2015, as-735_G_466, 7716, 7716, 18684, 1969.70, 1650.86, -0.100330, 2.42146, 17.34215, 7.16185, 42.98956, MKL SpMV, 0.00856, 4.366024, 54.479, CPU CSR I/O Proxy, 0.00554, 6.748683, 84.209, Merge SpMV, 0.00642, 5.824046, 72.672, Merge SpMV NUMA, Numa setup ms, 1.48487, 0.00628, 5.950583, 74.250, POSKI Tuned SpMV, poski tune ms, 60.79006, 0.08994, 0.415467, 5.184,
Wed Sep 9 14:32:18 PDT 2015, as-735_G_467, 7716, 7716, 18696, 1971.55, 1653.46, -0.099068, 2.42302, 17.34413, 7.15807, 42.96537, MKL SpMV, 0.00861, 4.344844, 54.207, CPU CSR I/O Proxy, 0.00517, 7.228612, 90.186, Merge SpMV, 0.00664, 5.629223, 70.232, Merge SpMV NUMA, Numa setup ms, 1.55091, 0.00657, 5.687584, 70.960, POSKI Tuned SpMV, poski tune ms, 110.96001, 0.09301, 0.402016, 5.016,
Wed Sep 9 14:32:25 PDT 2015, as-735_G_468, 7716, 7716, 18633, 1975.26, 1655.24, -0.098403, 2.41485, 17.34605, 7.18307, 43.05057, MKL SpMV, 0.00857, 4.349309, 54.299, CPU CSR I/O Proxy, 0.00536, 6.957728, 86.865, Merge SpMV, 0.00661, 5.641612, 70.433, Merge SpMV NUMA, Numa setup ms, 1.51086, 0.00645, 5.781872, 72.184, POSKI Tuned SpMV, poski tune ms, 53.98297, 0.09031, 0.412657, 5.152,
Wed Sep 9 14:32:32 PDT 2015, as-735_G_469, 7716, 7716, 18642, 1976.05, 1655.57, -0.098532, 2.41602, 17.30785, 7.16379, 42.99759, MKL SpMV, 0.00867, 4.298362, 53.658, CPU CSR I/O Proxy, 0.00517, 7.216182, 90.083, Merge SpMV, 0.00647, 5.758571, 71.887, Merge SpMV NUMA, Numa setup ms, 1.45578, 0.00674, 5.532113, 69.060, POSKI Tuned SpMV, poski tune ms, 44.33584, 0.10115, 0.368594, 4.601,
Wed Sep 9 14:32:40 PDT 2015, as-735_G_470, 7716, 7716, 18705, 1979.28, 1659.17, -0.101098, 2.42418, 17.39919, 7.17734, 43.06223, MKL SpMV, 0.00867, 4.312729, 53.802, CPU CSR I/O Proxy, 0.00527, 7.092665, 88.481, Merge SpMV, 0.00670, 5.583133, 69.650, Merge SpMV NUMA, Numa setup ms, 1.80411, 0.00636, 5.881854, 73.376, POSKI Tuned SpMV, poski tune ms, 64.57901, 0.09923, 0.376996, 4.703,
Wed Sep 9 14:32:47 PDT 2015, as-735_G_471, 7716, 7716, 18663, 1979.03, 1657.70, -0.102726, 2.41874, 17.36685, 7.18012, 43.23388, MKL SpMV, 0.00863, 4.322752, 53.951, CPU CSR I/O Proxy, 0.00522, 7.155649, 89.307, Merge SpMV, 0.00657, 5.684517, 70.946, Merge SpMV NUMA, Numa setup ms, 1.47796, 0.00646, 5.775641, 72.084, POSKI Tuned SpMV, poski tune ms, 57.14798, 0.09421, 0.396208, 4.945,
Wed Sep 9 14:32:55 PDT 2015, as-735_G_472, 7716, 7716, 18692, 1977.36, 1657.34, -0.101938, 2.42250, 17.37466, 7.17221, 43.14142, MKL SpMV, 0.00904, 4.135608, 51.599, CPU CSR I/O Proxy, 0.00514, 7.277737, 90.803, Merge SpMV, 0.00661, 5.654219, 70.546, Merge SpMV NUMA, Numa setup ms, 1.45888, 0.00665, 5.620760, 70.129, POSKI Tuned SpMV, poski tune ms, 45.63999, 0.08807, 0.424504, 5.296,
Wed Sep 9 14:33:02 PDT 2015, as-735_G_473, 7716, 7716, 18724, 1979.76, 1658.41, -0.100869, 2.42665, 17.38731, 7.16516, 43.03242, MKL SpMV, 0.00874, 4.283287, 53.424, CPU CSR I/O Proxy, 0.00509, 7.360435, 91.803, Merge SpMV, 0.00679, 5.511211, 68.739, Merge SpMV NUMA, Numa setup ms, 1.60193, 0.00661, 5.669075, 70.708, POSKI Tuned SpMV, poski tune ms, 66.54095, 0.09787, 0.382623, 4.772,
Wed Sep 9 14:33:09 PDT 2015, as-735_G_474, 7716, 7716, 18781, 1983.35, 1662.06, -0.101624, 2.43403, 17.45073, 7.16947, 43.19527, MKL SpMV, 0.00880, 4.268554, 53.208, CPU CSR I/O Proxy, 0.00520, 7.228433, 90.103, Merge SpMV, 0.00686, 5.471696, 68.205, Merge SpMV NUMA, Numa setup ms, 2.62809, 0.00674, 5.576258, 69.508, POSKI Tuned SpMV, poski tune ms, 47.64294, 0.10591, 0.354663, 4.421,
Wed Sep 9 14:33:17 PDT 2015, as-735_G_475, 7716, 7716, 18806, 1987.41, 1664.15, -0.104490, 2.43727, 17.47625, 7.17041, 43.20545, MKL SpMV, 0.00909, 4.138299, 51.571, CPU CSR I/O Proxy, 0.00509, 7.383065, 92.006, Merge SpMV, 0.00667, 5.643157, 70.324, Merge SpMV NUMA, Numa setup ms, 1.48487, 0.00658, 5.716404, 71.236, POSKI Tuned SpMV, poski tune ms, 49.03197, 0.09659, 0.389418, 4.853,
Wed Sep 9 14:33:24 PDT 2015, as-735_G_476, 7716, 7716, 18866, 1994.79, 1666.62, -0.105368, 2.44505, 17.51484, 7.16339, 43.07412, MKL SpMV, 0.00868, 4.346866, 54.136, CPU CSR I/O Proxy, 0.00507, 7.442154, 92.684, Merge SpMV, 0.00683, 5.527626, 68.841, Merge SpMV NUMA, Numa setup ms, 1.55115, 0.00651, 5.792930, 72.145, POSKI Tuned SpMV, poski tune ms, 66.81299, 0.09227, 0.408923, 5.093,
Wed Sep 9 14:33:31 PDT 2015, as-735_G_477, 7716, 7716, 18809, 1997.49, 1669.36, -0.106356, 2.43766, 17.51296, 7.18432, 43.31829, MKL SpMV, 0.00874, 4.301687, 53.605, CPU CSR I/O Proxy, 0.00506, 7.430955, 92.600, Merge SpMV, 0.00673, 5.591529, 69.678, Merge SpMV NUMA, Numa setup ms, 1.83201, 0.00637, 5.902105, 73.548, POSKI Tuned SpMV, poski tune ms, 108.23798, 0.09426, 0.399102, 4.973,
Wed Sep 9 14:33:38 PDT 2015, as-735_G_478, 7716, 7716, 18836, 1996.34, 1668.53, -0.105432, 2.44116, 17.51463, 7.17471, 43.18932, MKL SpMV, 0.00858, 4.390021, 54.690, CPU CSR I/O Proxy, 0.00522, 7.219710, 89.942, Merge SpMV, 0.00661, 5.696537, 70.967, Merge SpMV NUMA, Numa setup ms, 1.58715, 0.00659, 5.720378, 71.264, POSKI Tuned SpMV, poski tune ms, 44.25216, 0.09256, 0.406993, 5.070,
Wed Sep 9 14:33:45 PDT 2015, as-735_G_479, 7716, 7716, 18841, 1995.83, 1668.81, -0.105457, 2.44181, 17.49018, 7.16280, 43.19863, MKL SpMV, 0.00882, 4.271117, 53.206, CPU CSR I/O Proxy, 0.00514, 7.330300, 91.315, Merge SpMV, 0.00672, 5.606308, 69.839, Merge SpMV NUMA, Numa setup ms, 1.61004, 0.00659, 5.721134, 71.269, POSKI Tuned SpMV, poski tune ms, 108.45208, 0.09611, 0.392055, 4.884,
Wed Sep 9 14:33:53 PDT 2015, as-735_G_480, 7716, 7716, 18875, 1997.46, 1671.24, -0.105186, 2.44622, 17.50303, 7.15515, 43.27941, MKL SpMV, 0.00883, 4.275111, 53.237, CPU CSR I/O Proxy, 0.00519, 7.278872, 90.642, Merge SpMV, 0.00646, 5.839365, 72.716, Merge SpMV NUMA, Numa setup ms, 1.52206, 0.00647, 5.834330, 72.654, POSKI Tuned SpMV, poski tune ms, 46.42987, 0.10349, 0.364777, 4.542,
Wed Sep 9 14:34:00 PDT 2015, as-735_G_481, 7716, 7716, 18923, 2001.00, 1675.27, -0.105863, 2.45244, 17.57076, 7.16461, 43.24014, MKL SpMV, 0.00872, 4.339174, 54.008, CPU CSR I/O Proxy, 0.00515, 7.343259, 91.398, Merge SpMV, 0.00666, 5.686341, 70.775, Merge SpMV NUMA, Numa setup ms, 1.45388, 0.00657, 5.757918, 71.666, POSKI Tuned SpMV, poski tune ms, 50.48704, 0.09601, 0.394184, 4.906,
Wed Sep 9 14:34:08 PDT 2015, as-735_G_482, 7716, 7716, 18967, 2005.16, 1677.06, -0.107320, 2.45814, 17.58058, 7.15199, 43.25355, MKL SpMV, 0.00865, 4.383437, 54.534, CPU CSR I/O Proxy, 0.00506, 7.498703, 93.290, Merge SpMV, 0.00649, 5.841947, 72.679, Merge SpMV NUMA, Numa setup ms, 1.77693, 0.00642, 5.904511, 73.457, POSKI Tuned SpMV, poski tune ms, 61.00607, 0.09398, 0.403645, 5.022,
Wed Sep 9 14:34:15 PDT 2015, as-735_G_483, 7716, 7716, 19009, 2007.95, 1677.25, -0.107357, 2.46358, 17.63910, 7.15994, 43.25826, MKL SpMV, 0.00909, 4.183595, 52.025, CPU CSR I/O Proxy, 0.00533, 7.139291, 88.780, Merge SpMV, 0.00668, 5.694522, 70.814, Merge SpMV NUMA, Numa setup ms, 1.67084, 0.00650, 5.847069, 72.711, POSKI Tuned SpMV, poski tune ms, 48.03801, 0.09695, 0.392131, 4.876,
Wed Sep 9 14:34:22 PDT 2015, as-735_G_484, 7716, 7716, 19033, 2013.66, 1679.79, -0.106795, 2.46669, 17.65340, 7.15671, 43.20188, MKL SpMV, 0.00889, 4.279647, 53.206, CPU CSR I/O Proxy, 0.00527, 7.222713, 89.796, Merge SpMV, 0.00678, 5.618532, 69.852, Merge SpMV NUMA, Numa setup ms, 1.84798, 0.00643, 5.917911, 73.574, POSKI Tuned SpMV, poski tune ms, 65.28187, 0.09925, 0.383522, 4.768,
Wed Sep 9 14:34:30 PDT 2015, as-735_G_485, 7716, 7716, 19033, 2013.08, 1681.13, -0.108249, 2.46669, 17.64585, 7.15365, 43.16082, MKL SpMV, 0.00880, 4.324130, 53.759, CPU CSR I/O Proxy, 0.00517, 7.366508, 91.583, Merge SpMV, 0.00666, 5.719650, 71.109, Merge SpMV NUMA, Numa setup ms, 1.41287, 0.00650, 5.859913, 72.853, POSKI Tuned SpMV, poski tune ms, 65.37914, 0.09124, 0.417195, 5.187,
Wed Sep 9 14:34:37 PDT 2015, as-735_G_486, 7716, 7716, 19052, 2015.37, 1681.90, -0.109753, 2.46916, 17.69404, 7.16603, 43.24597, MKL SpMV, 0.00846, 4.504231, 55.988, CPU CSR I/O Proxy, 0.00513, 7.430581, 92.362, Merge SpMV, 0.00668, 5.707453, 70.944, Merge SpMV NUMA, Numa setup ms, 1.59597, 0.00653, 5.837295, 72.557, POSKI Tuned SpMV, poski tune ms, 110.78787, 0.09833, 0.387520, 4.817,
