Wed Sep 9 11:12:07 PDT 2015, dense_8192_x_2048, 8192, 2048, 16777216, 3242.67, 2205.50, -0.000000, 2048.00000, 0.00000, 0.00000, -nan, MKL SpMV, 3.14045, 10.684589, 106.877, CPU CSR I/O Proxy, 3.25635, 10.304313, 103.073, Merge SpMV, 3.24204, 10.349787, 103.528, Merge SpMV NUMA, Numa setup ms, 15.97881, 2.21017, 15.181833, 151.863, POSKI Tuned SpMV, poski tune ms, 112.04004, 2.97867, 11.264923, 112.682,
Wed Sep 9 11:12:25 PDT 2015, dense_4096_x_4096, 4096, 4096, 16777216, 1365.33, 965.44, -0.000000, 4096.00000, 0.00000, 0.00000, -nan, MKL SpMV, 3.13168, 10.714512, 107.161, CPU CSR I/O Proxy, 3.22888, 10.391985, 103.935, Merge SpMV, 3.23986, 10.356749, 103.583, Merge SpMV NUMA, Numa setup ms, 15.83505, 2.21893, 15.121925, 151.241, POSKI Tuned SpMV, poski tune ms, 93.17207, 3.06286, 10.955261, 109.569,
Wed Sep 9 11:12:43 PDT 2015, dense_2048_x_8192, 2048, 8192, 16777216, 3242.67, 2205.50, 0.000000, 8192.00000, 0.00000, 0.00000, -nan, MKL SpMV, 3.12898, 10.723772, 107.246, CPU CSR I/O Proxy, 3.22987, 10.388786, 103.895, Merge SpMV, 3.23656, 10.367312, 103.681, Merge SpMV NUMA, Numa setup ms, 15.10501, 2.20024, 15.250323, 152.514, POSKI Tuned SpMV, poski tune ms, 130.82314, 2.87061, 11.688946, 116.898,
Wed Sep 9 11:13:02 PDT 2015, dense_1024_x_16384, 1024, 16384, 16777216, 7701.33, 4704.13, -0.000000, 16384.00000, 0.00000, 0.00000, -nan, MKL SpMV, 3.13078, 10.717597, 107.180, CPU CSR I/O Proxy, 3.24754, 10.332248, 103.326, Merge SpMV, 3.25948, 10.294427, 102.948, Merge SpMV NUMA, Numa setup ms, 15.52105, 2.20262, 15.233851, 152.344, POSKI Tuned SpMV, poski tune ms, 129.05193, 3.09766, 10.832183, 108.326,
Wed Sep 9 11:13:20 PDT 2015, dense_512_x_32768, 512, 32768, 16777216, 16130.67, 9455.91, 0.000000, 32768.00000, 0.00000, 0.00000, -nan, MKL SpMV, 3.06804, 10.936779, 109.370, CPU CSR I/O Proxy, 3.22439, 10.406433, 104.066, Merge SpMV, 3.22598, 10.401313, 104.015, Merge SpMV NUMA, Numa setup ms, 16.14594, 2.20238, 15.235535, 152.358, POSKI Tuned SpMV, poski tune ms, 126.69301, 3.08908, 10.862284, 108.625,
Wed Sep 9 11:13:38 PDT 2015, dense_256_x_65536, 256, 65536, 16777216, 32640.33, 18918.18, 0.000000, 65536.00000, 0.00000, 0.00000, -nan, MKL SpMV, 3.75344, 8.939645, 89.397, CPU CSR I/O Proxy, 3.20402, 10.472615, 104.727, Merge SpMV, 3.20114, 10.482036, 104.821, Merge SpMV NUMA, Numa setup ms, 16.66307, 2.21024, 15.181378, 151.815, POSKI Tuned SpMV, poski tune ms, 198.09985, 3.01499, 11.129219, 111.293,
Wed Sep 9 11:13:57 PDT 2015, dense_128_x_131072, 128, 131072, 16777216, 65472.04, 37837.17, 0.000000, 131072.00000, 0.00000, 0.00000, -nan, MKL SpMV, 3.73224, 8.990422, 89.905, CPU CSR I/O Proxy, 3.23522, 10.371595, 103.716, Merge SpMV, 3.23951, 10.357864, 103.579, Merge SpMV NUMA, Numa setup ms, 15.61689, 2.21023, 15.181430, 151.815, POSKI Tuned SpMV, poski tune ms, 322.91986, 3.03455, 11.057448, 110.575,
Wed Sep 9 11:14:16 PDT 2015, dense_64_x_262144, 64, 262144, 16777216, 131040.01, 75674.45, -0.000000, 262144.00000, 0.00000, 0.00000, -nan, MKL SpMV, 3.82202, 8.779239, 87.793, CPU CSR I/O Proxy, 3.20593, 10.466362, 104.664, Merge SpMV, 3.20499, 10.469445, 104.695, Merge SpMV NUMA, Numa setup ms, 15.41495, 2.21497, 15.148962, 151.490, POSKI Tuned SpMV, poski tune ms, 572.37604, 3.06540, 10.946186, 109.462,
Wed Sep 9 11:14:36 PDT 2015, dense_32_x_524288, 32, 524288, 16777216, 262128.00, 151348.91, 0.000000, 524288.00000, 0.00000, 0.00000, -nan, MKL SpMV, 9.26208, 3.622776, 36.228, CPU CSR I/O Proxy, 3.23315, 10.378247, 103.783, Merge SpMV, 3.23476, 10.373074, 103.731, Merge SpMV NUMA, Numa setup ms, 18.81599, 2.20978, 15.184503, 151.845, POSKI Tuned SpMV, poski tune ms, 955.13892, 3.21305, 10.443159, 104.432,
Wed Sep 9 11:15:01 PDT 2015, dense_16_x_1048576, 16, 1048576, 16777216, 524280.00, 302697.82, -0.000000, 1048576.00000, 0.00000, 0.00000, -nan, MKL SpMV, 19.68544, 1.704530, 17.045, CPU CSR I/O Proxy, 4.02293, 8.340801, 83.408, Merge SpMV, 4.02781, 8.330694, 83.307, Merge SpMV NUMA, Numa setup ms, 12.89797, 2.88423, 11.633760, 116.338, POSKI Tuned SpMV, poski tune ms, 630.60498, 3.31480, 10.122618, 101.226,
